,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text,lang
11,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNDNnVLb2J3EAE,Jordan Hodge,https://www.google.com/maps/contrib/104143975478651185049/reviews?hl=en-CA,10 months ago,2021-06-30 00:37:13.293979,5.0,23,Really efficient,en
12,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSURpZ29mV3BnRRAB,anubis 369,https://www.google.com/maps/contrib/114924018273254005350/reviews?hl=en-CA,7 months ago,2021-06-30 00:37:13.295809,1.0,52,Aggressive panhandlers avoid at night!,en
13,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNFeGZuUDRBRRAB,Jigneshkumar Patel,https://www.google.com/maps/contrib/118030657832380387889/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.296890,5.0,215,This place has a intersection of two metro line green and orange which is very useful and also has STM bus terminal that cover West island. It is nearby downtown and clean and decent area,en
14,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNBcHUzRFdBEAE,Kenny Plays,https://www.google.com/maps/contrib/108013759332160203542/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.298774,4.0,34,"Nice metro station, however I find the doors at the entrance are a pain. It has a little park, which makes it very pleasant in the summer.",en
15,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSURBZ3FDUW13RRAB,Daniel Goldwater,https://www.google.com/maps/contrib/109277051181313059558/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.300013,4.0,158,🚈 Central hub linking green and orange lines. A bit outdated in its style but I guess the orange bubbly flooring is funky.,en
16,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNzMExqOEV3EAE,S V,https://www.google.com/maps/contrib/106258117936923005231/reviews?hl=en-CA,a year ago,2021-06-30 00:37:13.301030,4.0,312,"Nice metro station with two floors. Intersection to four directions possible. 1 bus brings you to airport trudeau I believe. However, sometimes in rush hours, everyone is fighting to get in the metro...its the apocalypse each time.",en
17,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSURNcHN2ejZRRRAB,Nathan Price,https://www.google.com/maps/contrib/116773780443343463109/reviews?hl=en-CA,a year ago,2021-06-30 00:37:13.302043,4.0,1,"I liked a lot this subway station because this place has a convenience store, but i not liked a little my visit here because this place has no toilets, the personnel is very nice, friendly and welcoming, but i loved in my experience, i know this station connects with 747 shuttle to YUL.",en
18,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSURDeU9yS1NBEAE,Zoir Radjabov,https://www.google.com/maps/contrib/100249706059581510387/reviews?hl=en-CA,9 months ago,2021-06-30 00:37:13.303201,3.0,637,Stupid question🤣 Lionel is as usual,en
19,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUQwNElHTFVREAE,Hiro Chen,https://www.google.com/maps/contrib/118073954201257962438/reviews?hl=en-CA,a year ago,2021-06-30 00:37:13.304212,5.0,168,"Good metro station. Helpful staffs. Clean, and secured.",en
20,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUN3NEx1Q213RRAB,Mouris Khouri,https://www.google.com/maps/contrib/108204121120887903600/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.305404,4.0,1,"I like this metro station. Even though it's huge but it's all the time clean and well organized. And on top of that, you will still have connection for your mobile phone or tablet. Also, lot of passengers are there all the time,  but waiting time is always less than 5 minutes. Beside that,  you will find seats all the time and they are clean and comfortable",en
21,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUMwNFBDSzB3RRAB,Jeremy Arnie,https://www.google.com/maps/contrib/100873294229536788736/reviews?hl=en-CA,a year ago,2021-06-30 00:37:13.307144,4.0,2,L'Arbre de vie located inside the Lionel-Groulx station is a truly wonderful idea and gives it a special touch.,en
22,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSURJcHJMWEZREAE,Catherine,https://www.google.com/maps/contrib/117214922683140090244/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.309328,5.0,33,"Layout is way less confusing for non-locals than Berri. I always switch lines here.

There's a Cafe Depot and 2 Depanneurs here. There are a lot of buses that pass by this metro too.",en
23,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUN3NmFURm5BRRAB,Murat POLAT,https://www.google.com/maps/contrib/107087796084138983960/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.310366,4.0,84,"Unlike other connection stations in Montreal, you don't have to walk for 15 minutes to take the metro. In addition to that, the elevators help the handicapped people to take the metro easier. On the other hand, I have taken the metro from this station every single day last year, and the escalators didn't work for at least 2 months!",en
24,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUN3b1luWmVBEAE,Trans-Continental Rail Fan,https://www.google.com/maps/contrib/108510465904608299447/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.317690,4.0,97,"Overall, a great station! Though in my opinion, the system where all of the Northbound trains are on the upper level, and the SB trains on the lower level, doesn't make much sense to me. It has the possibility to greatly confuse people that don't fully understand the concept of this station.",en
25,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNZNHVDQW1nRRAB,Juan Carlos Fernández Espinosa,https://www.google.com/maps/contrib/103685956503590743075/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.319601,5.0,119,A very convenient transfer for metro and bus. Open spaces.,en
26,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSURZNi0zdGZ3EAE,Midnight Roadkill,https://www.google.com/maps/contrib/114108776075516258403/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.321367,5.0,25,Key metro station in Montréal. Orange and green lines cross. Really close to ATWATER market too. Only Berri UQUAM station more key.,en
27,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNRMnNqTWtnRRAB,Branden Monette (MaZe),https://www.google.com/maps/contrib/103769524682032922921/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.322787,5.0,24,"For such a huge underground structure it sure is clean. Lots of space and offers a great selection of stores like Couche Tard , a coffee shop etc. Also the central terminus, you can get on the Orange or Green Line. Also has an airport shuttle bus and many busses going all over in front. Can be confusing trying to find your bus though.",en
28,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNBN0x6NW93RRAB,Anndrewsarputharaj R N,https://www.google.com/maps/contrib/107593098554400118070/reviews?hl=en-CA,5 years ago,2021-06-30 00:37:13.323939,5.0,19,Awesome metro station with three levels....quite busy station always.... I love the infrastructure.....,en
29,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSURJeWNLVU5REAE,Katherine Hansen,https://www.google.com/maps/contrib/100100844877392480408/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.324959,5.0,133,It's a fast way to get to Peel,en
30,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNnLWIya3dBRRAB,Martin H,https://www.google.com/maps/contrib/103571487441850094339/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.325976,4.0,4,Needs more trees. It's blinding when it's sunny. More benches too. Functionally it's great.,en
31,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUN3MWF6YklBEAE,Yu Meng Chao,https://www.google.com/maps/contrib/103809159461050760632/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.326989,4.0,589,Nice building architecture but the stairs and escalators need to be wider!,en
32,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUN3NExITFdBEAE,Andrew Laramee,https://www.google.com/maps/contrib/115664713202649926445/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.327990,4.0,408,Great station. Lots of walking/waiting space and it is kept quite clean.,en
33,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSURBOHV5cUJBEAE,Sky Of The Universe,https://www.google.com/maps/contrib/100813571163152600174/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.329425,5.0,6,Great architecture and there are always friendly Panhandlers at the bottom of the escalators to greet you.,en
34,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUN3c19HUGdBRRAB,Peter Panyiczky,https://www.google.com/maps/contrib/102856804693130662604/reviews?hl=en-CA,5 years ago,2021-06-30 00:37:13.331761,4.0,117,Easy transfer between the Orange and the Green lines,en
35,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNRNVlpSnFBRRAB,Jeremy Arnott,https://www.google.com/maps/contrib/102447093863216009927/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.333507,5.0,1,"Hard to fine, but beautiful when ya do.",en
36,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUN3Z2JPMTlBRRAB,Andrew Malaty,https://www.google.com/maps/contrib/106157309843882449136/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.335211,1.0,29,"The busses are never on time which is a mystery since this is the first stop its not like they could have been delayed at an earlier stop... This makes no sense... STM go home, you're drunk",en
37,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNBOS1leFFnEAE,god bless,https://www.google.com/maps/contrib/106922220611507619415/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.336316,5.0,15,The best metro station in town,en
38,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNnNTYtYUpBEAE,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.337351,5.0,42,"The best planned of Montreal's four transfer stations, Lionel-Groulx is laid out on two levels, planned in such a way that the majority of transfers do not require the user to go up or down stairs. Since most transferring passengers are either going towards or coming from downtown, the two inbound lines (Montmorency and Honoré-Beaugrand) are on the upper platform, and the two outbound lines (Côte-Vertu and Angrignon) are on the lower platform. That way, most transferring passengers can simply walk across to their connecting train. Plus its wheelchair accessible.",en
39,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNBci1LQ2NnEAE,Wil Costigan,https://www.google.com/maps/contrib/117991608426569083835/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.339028,4.0,243,"Favourite subway station, easy to navigate",en
40,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNBNTdiUFV3EAE,Yalin K,https://www.google.com/maps/contrib/114492283906795993136/reviews?hl=en-CA,5 years ago,2021-06-30 00:37:13.340283,5.0,216,Nice and big station.,en
41,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUN3Nlp2dllREAE,Aurelie Sanhaji,https://www.google.com/maps/contrib/116420730107242873764/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.341311,4.0,321,Not our prettiest metro station but not the worst either,en
42,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNzcnNDaFBBEAE,Y S,https://www.google.com/maps/contrib/107143050960020766714/reviews?hl=en-CA,10 months ago,2021-06-30 00:37:13.343120,4.0,207,Metro,en
43,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNnMkxPRmJREAE,Anthony Gentile,https://www.google.com/maps/contrib/108052150600576324663/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.347001,5.0,12,One of the best hub metro stations,en
44,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUN3M0tiSmZnEAE,Zack Therrien,https://www.google.com/maps/contrib/108416692635690950838/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.349099,5.0,53,Entrance is a bit sketchy. But overall a nice station.,en
45,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNRdFBMTjVnRRAB,Nick A,https://www.google.com/maps/contrib/110681643365543322133/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.350790,5.0,107,Best Metro Terminal.,en
46,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSURJd29tbUd3EAE,CJR,https://www.google.com/maps/contrib/116347011366542508946/reviews?hl=en-CA,2 years ago,2021-06-30 00:37:13.352553,4.0,179,A metro where you can choose from 4 seperate directions,en
47,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUN3b2F5ZFVnEAE,Daniel Law,https://www.google.com/maps/contrib/113228157812840208385/reviews?hl=en-CA,5 years ago,2021-06-30 00:37:13.353930,4.0,204,Not too bad,en
48,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNBdi1pU2l3RRAB,Lilla Szilágyi,https://www.google.com/maps/contrib/117397318039759854037/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.356015,4.0,62,Important junction for a lot of buses,en
49,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNNXzVXRWlRRRAB,Ramses Premier,https://www.google.com/maps/contrib/115120214006643606210/reviews?hl=en-CA,a year ago,2021-06-30 00:37:13.358093,4.0,86,Lots of buses.,en
50,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSURnblo3bXFBRRAB,H W,https://www.google.com/maps/contrib/113845683399235648450/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.360056,3.0,33,very crowded in rush hours,en
51,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUQwaXVEaTJBRRAB,Ihor Vyshnivskyi,https://www.google.com/maps/contrib/115136376303003098561/reviews?hl=en-CA,a year ago,2021-06-30 00:37:13.361282,5.0,140,Super!,en
52,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNnaUxLcEx3EAE,MTL po,https://www.google.com/maps/contrib/110926781131707440949/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.363206,3.0,13,Cause it's a clean metro,en
53,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSURBMDhtQ1RnEAE,Mohamed Slimani,https://www.google.com/maps/contrib/108919615854691931209/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.365538,5.0,4,Clean and busy,en
54,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSURBcjczcFlREAE,Rentan TGLG,https://www.google.com/maps/contrib/103930090280299692031/reviews?hl=en-CA,3 years ago,2021-06-30 00:37:13.367092,4.0,819,Clean and easy to find,en
55,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNBMktQYWV3EAE,Daniel Sclavon,https://www.google.com/maps/contrib/106550624820139206792/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.369141,5.0,64,Decent service,en
56,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUN3LXJHQVlnEAE,Lahesh Babu,https://www.google.com/maps/contrib/108230116328655854522/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.370268,5.0,129,Good station,en
57,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNRay12M0tREAE,Nirbhaysingh Dhillon,https://www.google.com/maps/contrib/116256749585205170901/reviews?hl=en-CA,4 years ago,2021-06-30 00:37:13.371308,3.0,16,direction map at station still needs improvement. new people gets too confused from the way it represents the directions of metro,en
58,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNBM3Q2RUtREAE,Zachary Bergeron,https://www.google.com/maps/contrib/108089563422823507436/reviews?hl=en-CA,5 years ago,2021-06-30 00:37:13.372327,2.0,132,The outside could do with a major cleanup,en
59,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNxMi03cmJ3EAE,Patrice Guerette,https://www.google.com/maps/contrib/107909881612687619123/reviews?hl=en-CA,a week ago,2021-06-30 00:37:13.373586,5.0,8,La meilleure station du métro. Surtout pour faire des transferts de ligne.,en
60,Côte-des-Neiges,ChZDSUhNMG9nS0VJQ0FnSUNLakliQ0NnEAE,Ranjit Nair,https://www.google.com/maps/contrib/118340131927251530296/reviews?hl=en-US,3 months ago,2021-06-30 11:11:22.221563,1.0,7,"Montreal is Bilingual...Hire people at the Ticket counters who are bilingual. Yesterday, March 28, 2021 at around 7 PM I reached out to the counter at this metro station to get help on Student's OPUS Card and the gentleman knew only French, what a Joke?",en
61,Côte-des-Neiges,ChdDSUhNMG9nS0VJQ0FnSURZdWNxTThBRRAB,Joss H,https://www.google.com/maps/contrib/116854935677821215280/reviews?hl=en-US,2 years ago,2021-06-30 11:11:22.222440,4.0,317,"Great station, well organised and some cool architecture.",en
62,Côte-des-Neiges,ChZDSUhNMG9nS0VJQ0FnSURnMjd2ZEtnEAE,romel v. rosal,https://www.google.com/maps/contrib/117649842686693102350/reviews?hl=en-US,7 months ago,2021-06-30 11:11:22.223336,1.0,12,INTERNET GOOGLE WEBSITES romel v. rosal,en
63,Côte-des-Neiges,ChZDSUhNMG9nS0VJQ0FnSURndE83ckh3EAE,Patrick M,https://www.google.com/maps/contrib/100042773734697142109/reviews?hl=en-US,3 years ago,2021-06-30 11:11:22.224237,5.0,227,Gorgeous windows and art work,en
64,Côte-des-Neiges,ChdDSUhNMG9nS0VJQ0FnSUNJMWNLV2l3RRAB,Antti Koskela,https://www.google.com/maps/contrib/113669126635416007171/reviews?hl=en-US,2 years ago,2021-06-30 11:11:22.225077,2.0,354,Not accessible.,en
65,Côte-des-Neiges,ChdDSUhNMG9nS0VJQ0FnSUNJNXNlRW5RRRAB,Nicholas Zakem,https://www.google.com/maps/contrib/104772886515072566513/reviews?hl=en-US,2 years ago,2021-06-30 11:11:22.225867,3.0,57,It’s a metro,en
66,Côte-des-Neiges,ChdDSUhNMG9nS0VJQ0FnSURRM0xXRGtRRRAB,Joseph Viviano,https://www.google.com/maps/contrib/104829315255056790145/reviews?hl=en-US,3 years ago,2021-06-30 11:11:22.227058,5.0,7,Has a train,en
67,Côte-des-Neiges,ChdDSUhNMG9nS0VJQ0FnSUNnbzdHQjRBRRAB,Rami Ghanime,https://www.google.com/maps/contrib/118321386178206401827/reviews?hl=en-US,3 years ago,2021-06-30 11:11:22.227856,2.0,36,Dirty and stinky,en
68,Côte-des-Neiges,ChZDSUhNMG9nS0VJQ0FnSURBOHB2MkFnEAE,Joana Zghaib,https://www.google.com/maps/contrib/101207717221080387717/reviews?hl=en-US,3 years ago,2021-06-30 11:11:22.228647,2.0,363,"Pretty gross, always smelly, too small for the amount of people.",en
69,Côte-des-Neiges,ChdDSUhNMG9nS0VJQ0FnSURnMmZEMDFBRRAB,dj mix,https://www.google.com/maps/contrib/109673298086707128920/reviews?hl=en-US,3 years ago,2021-06-30 11:11:22.229437,4.0,1,Coollll,en
70,Côte-des-Neiges,ChZDSUhNMG9nS0VJQ0FnSURndDlHcUdREAE,Behnam Izadi,https://www.google.com/maps/contrib/115322806008751712651/reviews?hl=en-US,3 years ago,2021-06-30 11:11:22.230227,2.0,212,Very crowded and not clean,en
71,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUNxMTVQNmZREAE,Nikhil,https://www.google.com/maps/contrib/113124039009399973611/reviews?hl=en-US,a week ago,2021-06-30 10:27:48.628923,4.0,716,Good metro station. Eating places around it.,en
72,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUR5Xzl1TUFREAE,nadim ahmed,https://www.google.com/maps/contrib/103004303549380133833/reviews?hl=en-US,3 months ago,2021-06-30 10:27:48.629982,5.0,4,There is good in said a shop i can buy anything i like when bus let i can sit there chears good people love that place,en
73,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUQ4azQ3TTFnRRAB,Rodney Rothman,https://www.google.com/maps/contrib/106815566733771376698/reviews?hl=en-US,11 months ago,2021-06-30 10:27:48.630916,5.0,26,Just had the best club sandwich of my life. These guys know what there doing.,en
74,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUNzc3ZIWnh3RRAB,Pukar Khand (Puku),https://www.google.com/maps/contrib/115826242909433485213/reviews?hl=en-US,a year ago,2021-06-30 10:27:48.631847,5.0,51,My to and fro from clg.,en
75,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUN3NExHc0p3EAE,Mouris Khouri,https://www.google.com/maps/contrib/108204121120887903600/reviews?hl=en-US,3 years ago,2021-06-30 10:27:48.632830,1.0,1,"Very small metro station and not safe. They just finished construction and for now it's back to order. Neighbour hood is a bit dangerous around. You better choose to use Metro Cote Vertu station instead, and then to walk for 3 to 4 minutes to where you are going as destination.",en
76,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUN3NEw3VW9nRRAB,Andrew Laramee,https://www.google.com/maps/contrib/115664713202649926445/reviews?hl=en-US,4 years ago,2021-06-30 10:27:48.634084,4.0,408,"Long, neatly kept metro station that has two exits. Make sure you know which way your headed to save yourself 10-20 minutes of extra walking.",en
77,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUNJaW9YVVpnEAE,Bhavesh Patil,https://www.google.com/maps/contrib/102279325328025096460/reviews?hl=en-US,2 years ago,2021-06-30 10:27:48.635024,4.0,10,Good for public transport for point claire,en
78,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUN3MmZ1RVBREAE,Louis Jezsik,https://www.google.com/maps/contrib/105936703814111260715/reviews?hl=en-US,4 years ago,2021-06-30 10:27:48.635961,4.0,365,"Note that there are TWO entrances/exits! The other entrance has no staff, so if you show up there,  you'll have to use the machine to buy a ticket.",en
79,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUNBcHUzRF9nRRAB,Kenny Plays,https://www.google.com/maps/contrib/108013759332160203542/reviews?hl=en-US,4 years ago,2021-06-30 10:27:48.637004,4.0,34,"Buses usually on time, quite crowded with students leaving from 4-6 PM.",en
80,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUNnMjRUUjB3RRAB,Brian Ve,https://www.google.com/maps/contrib/108503921794441631045/reviews?hl=en-US,5 years ago,2021-06-30 10:27:48.638650,3.0,11,that escalator eventually needs to get fixed.,en
81,Du Collège,ChdDSUhNMG9nS0VJQ0FnSURxMVA3VHFBRRAB,Elysée Nikiema,https://www.google.com/maps/contrib/116253529286854762489/reviews?hl=en-US,7 hours ago,2021-06-30 10:27:48.655760,4.0,24,Place très animée avec plusieurs arrêts de bus à la sortie du métro!,en
82,De Castelnau,ChdDSUhNMG9nS0VJQ0FnSUNTaUpPNnhRRRAB,Mélanie LB,https://www.google.com/maps/contrib/100636224486820017118/reviews?hl=en-US,6 months ago,2021-06-30 11:16:22.101625,4.0,82,"Conveniently situated, near Jarry park and IGA stadium, formerly known as Uniprix stadium.

Clean metro station located on the blue line. Also has bus lines close, particularly the 55.",en
83,De Castelnau,ChZDSUhNMG9nS0VJQ0FnSUNTaGMtY0J3EAE,Maher Khaznaji,https://www.google.com/maps/contrib/105993181569884099919/reviews?hl=en-US,6 months ago,2021-06-30 11:16:22.102430,1.0,13,"The Doors open at 5:15 in the morning, it's freezing outside.",en
84,De Castelnau,ChZDSUhNMG9nS0VJQ0FnSUNLeF9qTWJBEAE,Talisman Perfume Oils - MTL,https://www.google.com/maps/contrib/111592473220966194968/reviews?hl=en-US,2 months ago,2021-06-30 11:16:22.103223,5.0,157,love it,en
85,De Castelnau,ChdDSUhNMG9nS0VJQ0FnSURndE43aXhRRRAB,Patrick M,https://www.google.com/maps/contrib/100042773734697142109/reviews?hl=en-US,3 years ago,2021-06-30 11:16:22.104008,5.0,227,Gorgeous art,en
86,De Castelnau,ChdDSUhNMG9nS0VJQ0FnSUN3NmF2S2d3RRAB,Aurelie Sanhaji,https://www.google.com/maps/contrib/116420730107242873764/reviews?hl=en-US,4 years ago,2021-06-30 11:16:22.104794,3.0,321,A more or less ok metro,en
87,Frontenac,ChZDSUhNMG9nS0VJQ0FnSUMwN18tckRBEAE,Matteo Gueli,https://www.google.com/maps/contrib/100511937792393795298/reviews?hl=en-CA,a year ago,2021-06-30 00:51:13.306636,2.0,10,this is the worst station of all time but I’m still thankful it exists. we have to be appreciative of the things around us,en
88,Frontenac,ChZDSUhNMG9nS0VJQ0FnSURJMTdqbVFBEAE,CJR,https://www.google.com/maps/contrib/116347011366542508946/reviews?hl=en-CA,2 years ago,2021-06-30 00:51:13.309311,3.0,179,Very convenient location. Everything you might need isn't too far,en
89,Frontenac,ChZDSUhNMG9nS0VJQ0FnSUNnNTZfcUZ3EAE,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-CA,4 years ago,2021-06-30 00:51:13.311778,1.0,42,"This station's profoundly dull colour scheme (brown floor tiles, beige wall tiles) wouldn't be so bad if there weren't just so much of it. But the lint-coloured hallways go on and on, taking their own sweet time, up several flights of escalators to finally arrive at the top. The experience is one of excruciating dullness, unbroken by any works of art. The nice new 1999-vintage postmodern kiosk can't do much to save this very boring station.",en
90,Frontenac,ChdDSUhNMG9nS0VJQ0FnSURRN2FQLXpRRRAB,Matt Davis,https://www.google.com/maps/contrib/114238999057158422045/reviews?hl=en-CA,5 years ago,2021-06-30 00:51:13.313728,5.0,218,"It's a metro station, which is useful if you need to get around the city.",en
